,Incident.Date,State,City.Or.County,Address,X..Killed,X..Injured,Operations,fullad,long,lat
124,26-Jul-14,Arkansas,Pine Bluff,N/A,1,3,N/A,"N/A ,  Pine Bluff ,  Arkansas",-92.0031955,34.2284312
125,26-Jul-14,Georgia,Sylvester,Royal Street,0,8,N/A,"Royal Street ,  Sylvester ,  Georgia",-83.8220617,31.5309776
126,26-Jul-14,Maine,Saco,35 Water Street,5,0,N/A,"35 Water Street ,  Saco ,  Maine",-70.4487735,43.4979561
127,25-Jul-14,Illinois,Chicago,700 South California Avenue,1,6,N/A,"700 South California Avenue ,  Chicago ,  Illinois",-87.6962999,41.872696
128,23-Jul-14,Pennsylvania,Braddock,700 block of Hickory St,0,4,N/A,"700 block of Hickory St ,  Braddock ,  Pennsylvania",-79.8612975,40.4057612
129,21-Jul-14,New Jersey,Irvington,36 Welland Avenue,0,6,N/A,"36 Welland Avenue ,  Irvington ,  New Jersey",-74.228937,40.7171492
130,21-Jul-14,Tennessee,Memphis,300 block of Foote Park Lane,0,4,N/A,"300 block of Foote Park Lane ,  Memphis ,  Tennessee",-90.0452121,35.1328562
131,20-Jul-14,Illinois,East Saint Louis,5103 block of Bunkum Rd,1,3,N/A,"5103 block of Bunkum Rd ,  East Saint Louis ,  Illinois",-90.0957623,38.6233748
132,20-Jul-14,Nevada,Las Vegas,Rancho Drive 3400 block ,1,3,N/A,"Rancho Drive 3400 block  ,  Las Vegas ,  Nevada",-115.2150062,36.2204356
133,19-Jul-14,Illinois,Chicago,1300 North Mason Avenue,0,4,N/A,"1300 North Mason Avenue ,  Chicago ,  Illinois",-87.7745077,41.9039506
134,14-Jul-14,California,Sacramento,Fulton Avenue ,1,4,N/A,"Fulton Avenue  ,  Sacramento ,  California",-121.401431,38.604098
135,13-Jul-14,Connecticut,Stamford,84 West Park Place,0,5,N/A,"84 West Park Place ,  Stamford ,  Connecticut",-73.5412839,41.0535521
136,13-Jul-14,District of Columbia,Washington,1700 block of Lincoln Road NE,0,4,N/A,"1700 block of Lincoln Road NE ,  Washington ,  District of Columbia",-77.0087051,38.9126705
137,13-Jul-14,Washington,Skyway,12600 Renton Avenue South ,0,5,N/A,"12600 Renton Avenue South  ,  Skyway ,  Washington",-122.2393177,47.4917411
138,12-Jul-14,California,Pasadena,1700 block of Summit Avenue,3,2,N/A,"1700 block of Summit Avenue ,  Pasadena ,  California",-118.1477121,34.1750698
139,11-Jul-14,Illinois,Chicago,5200 West Quincy Street,1,3,N/A,"5200 West Quincy Street ,  Chicago ,  Illinois",-87.7553625,41.8775564
140,9-Jul-14,Texas,Spring,711 Leaflet Ln,6,1,N/A,"711 Leaflet Ln ,  Spring ,  Texas",-95.4420109,30.040832
141,8-Jul-14,Rhode Island,Providence,35 March Street,0,5,N/A,"35 March Street ,  Providence ,  Rhode Island",-71.424938,41.841647
142,7-Jul-14,Kentucky,Stopover,KY 194E,0,4,N/A,"KY 194E ,  Stopover ,  Kentucky",-82.09127,37.515743
143,7-Jul-14,California,San Bernardino,312  E Baseline Street ,1,4,N/A,"312  E Baseline Street  ,  San Bernardino ,  California",-117.278133,34.121335
144,6-Jul-14,Florida,Miami,NW 20th Ave and NW 62nd St,2,2,N/A,"NW 20th Ave and NW 62nd St ,  Miami ,  Florida",-80.229983,25.8315384
145,6-Jul-14,Missouri,Saint Louis,4600 block of Natural Bridge Avenue,0,4,N/A,"4600 block of Natural Bridge Avenue ,  Saint Louis ,  Missouri",-90.241766,38.671689
146,6-Jul-14,New York,Buffalo,100 block of Erb Street,0,4,N/A,"100 block of Erb Street ,  Buffalo ,  New York",-78.800157,42.920877
147,5-Jul-14,Michigan,Kalamazoo,N/A,0,4,N/A,"N/A ,  Kalamazoo ,  Michigan",-85.587229,42.291707
148,5-Jul-14,Virginia,Norfolk,861 W. 36th Street,0,7,N/A,"861 W. 36th Street ,  Norfolk ,  Virginia",-76.2974404,36.8782321
149,5-Jul-14,Oregon,Portland,333 SE 122ND Ave,1,4,N/A,"333 SE 122ND Ave ,  Portland ,  Oregon",-122.5380289,45.5199523
150,5-Jul-14,Indiana,Indianapolis,Broad Ripple Avenue,0,7,N/A,"Broad Ripple Avenue ,  Indianapolis ,  Indiana",-86.1313339,39.8686303
151,5-Jul-14,Illinois,Centreville,4700 Piggott Avenue,0,5,N/A,"4700 Piggott Avenue ,  Centreville ,  Illinois",-90.123219,38.580054
152,5-Jul-14,Texas,Houston,1700 Almeda-Genoa,0,6,N/A,"1700 Almeda-Genoa ,  Houston ,  Texas",-95.395748,29.612063
153,4-Jul-14,Virginia,Norfolk,1722 Thurgood Street,0,5,N/A,"1722 Thurgood Street ,  Norfolk ,  Virginia",-76.2633206,36.8263581
154,2-Jul-14,Pennsylvania,Chester,1400 block of West Congress Street,0,5,N/A,"1400 block of West Congress Street ,  Chester ,  Pennsylvania",-75.3863327,39.840613
155,30-Jun-14,Kentucky,Lexington,Scottsdale Circle,1,3,N/A,"Scottsdale Circle ,  Lexington ,  Kentucky",-84.47719,38.076345
156,29-Jun-14,Louisiana,New Orleans,700 block of Bourbon St,1,9,N/A,"700 block of Bourbon St ,  New Orleans ,  Louisiana",-90.0654568,29.9586073
